"","date","group","antipsychotic_any_incident","antipsychotics_first_gen_incident","antipsychotics_second_gen_incident","antipsychotics_injectable_and_depot_incident","prochlorperazine_incident","alive_2weeks_post_new_antipsychotic","new_antipsychotic_without_midazolam","population"
"1",2019-01-01,"All",29200,2315,2990,340,23625,29200,27770,29945665
"2",2019-02-01,"All",26315,2195,2815,340,21020,26315,24980,30095705
"3",2019-03-01,"All",28545,2215,3070,350,22995,28545,27150,30218480
"4",2019-04-01,"All",25640,2190,2985,275,20260,25640,24190,30349575
"5",2019-05-01,"All",26705,2350,3190,325,20920,26705,25170,30465500
"6",2019-06-01,"All",26485,2230,3065,315,20950,26485,25140,30579625
"7",2019-07-01,"All",27965,2360,3290,360,22040,27965,26465,30701915
"8",2019-08-01,"All",26665,2255,2995,320,21175,26665,25180,30840705
"9",2019-09-01,"All",26365,2185,2950,355,20955,26365,24985,30978900
"10",2019-10-01,"All",29055,2565,3415,420,22745,29055,27410,31227000
"11",2019-11-01,"All",27830,2445,3255,380,21825,27830,26140,31423635
"12",2019-12-01,"All",25710,2490,3225,355,19710,25710,24020,31559790
"13",2020-01-01,"All",29010,2500,3300,415,22880,29010,27375,31667475
"14",2020-02-01,"All",26090,2385,3185,365,20245,26090,24450,31821245
"15",2020-03-01,"All",24630,3025,3705,410,17600,24630,22385,31951135
"16",2020-04-01,"All",24835,4625,3425,350,16600,24835,20970,32061915
"17",2020-05-01,"All",22895,3025,2985,340,16675,22895,20710,32055590
"18",2020-06-01,"All",24925,2620,3330,390,18690,24925,23095,32071535
"19",2020-07-01,"All",26290,2655,3325,450,19965,26290,24475,32126130
"20",2020-08-01,"All",23325,2360,2880,350,17815,23325,21665,32212635
"21",2020-09-01,"All",25980,2490,3195,400,19975,25980,24210,32313835
"22",2020-10-01,"All",28105,2890,3435,420,21435,28105,26085,32509810
"23",2020-11-01,"All",27425,2865,3560,395,20700,27425,25320,32664405
"24",2020-12-01,"All",27015,2960,3375,465,20305,27015,24825,32808345
"25",2021-01-01,"All",29890,3475,3335,405,22765,29890,27185,32917470
"26",2021-02-01,"All",27730,2760,3380,440,21250,27730,25725,33080825
"27",2021-03-01,"All",29630,2785,3770,470,22710,29630,27670,33233100
"28",2021-04-01,"All",25110,2425,3620,420,18730,25110,23430,33451935
"29",2021-05-01,"All",25990,2400,3495,400,19765,25990,24310,33606855
"30",2021-06-01,"All",27380,2595,3700,440,20720,27380,25560,33777070
"31",2021-07-01,"All",29205,2660,3700,455,22480,29205,27315,33978345
"32",2021-08-01,"All",27635,2470,3350,410,21490,27635,25875,34129845
"33",2021-09-01,"All",29925,2660,3730,410,23220,29925,28080,34284585
"34",2021-10-01,"All",29125,2785,3805,470,22155,29125,27180,34545910
"35",2021-11-01,"All",30255,2755,4145,430,23020,30255,28350,34758255
"36",2021-12-01,"All",27715,2975,3830,410,20600,27715,25530,34926460
"37",2019-01-01,"dementia",1015,485,300,NA,240,1015,590,212530
"38",2019-02-01,"dementia",960,470,280,NA,210,960,555,212785
"39",2019-03-01,"dementia",955,475,255,NA,225,955,540,213520
"40",2019-04-01,"dementia",960,475,295,NA,195,960,545,214710
"41",2019-05-01,"dementia",960,470,275,NA,215,960,560,215950
"42",2019-06-01,"dementia",905,420,290,NA,205,905,570,217450
"43",2019-07-01,"dementia",980,475,295,NA,210,980,570,219300
"44",2019-08-01,"dementia",1005,475,320,NA,220,1005,575,221335
"45",2019-09-01,"dementia",925,445,290,NA,195,925,530,223185
"46",2019-10-01,"dementia",1100,530,330,NA,250,1100,635,225240
"47",2019-11-01,"dementia",1125,575,325,NA,230,1125,610,227495
"48",2019-12-01,"dementia",1070,560,305,NA,205,1070,565,228895
"49",2020-01-01,"dementia",1075,555,315,NA,210,1075,595,230355
"50",2020-02-01,"dementia",1045,515,310,NA,225,1045,555,230270
