group,variable,population,antipsychotic
ageband,0-17,142015,5040
ageband,18-24,68340,11165
ageband,25-34,49925,13505
ageband,35-44,16330,6460
ageband,45-54,10295,4680
ageband,55-69,8755,4025
ageband,70-79,1200,600
ageband,80+,210,100
sex,Female,74250,14635
sex,Male,222820,30945
region,London,[REDACTED],[REDACTED]
region,East of England,[REDACTED],[REDACTED]
region,East Midlands,[REDACTED],[REDACTED]
region,North East,[REDACTED],[REDACTED]
region,North West,[REDACTED],[REDACTED]
region,South East,[REDACTED],[REDACTED]
region,South West,[REDACTED],[REDACTED]
region,West Midlands,[REDACTED],[REDACTED]
region,Yorkshire and the Humber,[REDACTED],[REDACTED]
region,Unknown,297070,45580
imd,1 most deprived,77130,11845
imd,2,66380,10410
imd,3,55375,8715
imd,4,49270,7665
imd,5 least deprived,47850,6760
imd,Unknown,1060,180
ethnicity,White,160130,28475
ethnicity,Mixed,7375,895
ethnicity,Asian or Asian British,13985,1895
ethnicity,Black or Black British,10575,1320
ethnicity,Other ethnic groups,3050,365
ethnicity,Unknown,101950,12630
