group,variable,total,nonantipsychotic,antipsychotic
ageband,0-17,4603230,4601600,1625
ageband,18-24,1878225,1869480,8745
ageband,25-34,3340525,3314910,25615
ageband,35-44,3334925,3302505,32420
ageband,45-54,3209015,3168845,40170
ageband,55-69,4391375,4336380,54995
ageband,70-79,2203875,2176305,27570
ageband,80+,1354565,1329290,25275
sex,Female,12148010,12024165,123845
sex,Male,12167720,12075155,92570
imd,1 most deprived,4854175,4792605,61565
imd,2,4749975,4700635,49340
imd,3,5007250,4964450,42800
imd,4,4707850,4674900,32950
imd,5 least deprived,4332715,4307960,24755
imd,Unknown,663770,658770,5000
ethnicity,British or Mixed British,10247170,10127540,119630
ethnicity,Irish,82560,81330,1230
ethnicity,Other White,1473670,1467615,6060
ethnicity,White + Black Caribbean,69625,68765,860
ethnicity,White + Black African,63600,63150,445
ethnicity,White + Asian,66290,65875,415
ethnicity,Other mixed,104070,103395,675
ethnicity,Indian or British Indian,543135,539645,3490
ethnicity,Pakistani or British Pakistani,426575,422725,3850
ethnicity,Bangladeshi or British Bangladeshi,97250,96460,790
ethnicity,Other Asian,292455,290675,1775
ethnicity,Caribbean,83730,82440,1290
ethnicity,African,271640,269920,1720
ethnicity,Other Black,66415,65760,655
ethnicity,Chinese,126425,126120,305
ethnicity,Other,277275,275335,1940
ethnicity,Unknown,10023855,9952575,71280
