group,variable,total,nonantipsychotic,antipsychotic
ageband,0-17,4644690,4642945,1750
ageband,18-24,1920725,1912180,8545
ageband,25-34,3421385,3395605,25780
ageband,35-44,3440625,3407630,32995
ageband,45-54,3214825,3175245,39580
ageband,55-69,4473325,4417190,56135
ageband,70-79,2236870,2208410,28460
ageband,80+,1413285,1385545,27735
sex,Female,12367160,12239700,127460
sex,Male,12398575,12305050,93525
region,London,1812115,1800535,11580
region,East of England,5767745,5711595,56150
region,East Midlands,4265025,4225050,39975
region,North East,1173480,1163585,9895
region,North West,2115735,2098975,16760
region,South East,1656560,1641305,15255
region,South West,3393385,3363830,29560
region,West Midlands,1012820,1002600,10220
region,Yorkshire and the Humber,3534085,3502845,31240
region,Unknown,34785,34445,345
imd,1 most deprived,4923985,4862120,61860
imd,2,4835865,4785965,49895
imd,3,5087635,5043835,43805
imd,4,4784120,4750065,34055
imd,5 least deprived,4375810,4350135,25675
imd,Unknown,758320,752635,5690
ethnicity,British or Mixed British,10311070,10190620,120445
ethnicity,Irish,83845,82635,1210
ethnicity,Other White,1512220,1506095,6125
ethnicity,White + Black Caribbean,70975,70125,850
ethnicity,White + Black African,66545,66105,440
ethnicity,White + Asian,68575,68165,410
ethnicity,Other mixed,108565,107830,735
ethnicity,Indian or British Indian,566770,563250,3515
ethnicity,Pakistani or British Pakistani,434565,430580,3990
ethnicity,Bangladeshi or British Bangladeshi,99360,98510,850
ethnicity,Other Asian,308105,306275,1825
ethnicity,Caribbean,84410,83120,1290
ethnicity,African,285070,283305,1770
ethnicity,Other Black,68855,68215,640
ethnicity,Chinese,140635,140290,340
ethnicity,Other,294655,292655,2000
ethnicity,Unknown,10261515,10186970,74540
