group,variable,population,antipsychotic
ageband,0-17,[REDACTED],[REDACTED]
ageband,18-24,[REDACTED],[REDACTED]
ageband,25-34,[REDACTED],[REDACTED]
ageband,35-44,85,10
ageband,45-54,735,105
ageband,55-69,10410,1555
ageband,70-79,39885,4565
ageband,80+,133715,9780
sex,Female,116220,9895
sex,Male,68615,6120
imd,1 most deprived,32055,3170
imd,2,34915,3330
imd,3,40460,3640
imd,4,38685,2915
imd,5 least deprived,35705,2650
imd,Unknown,3015,305
ethnicity,White,100695,9215
ethnicity,Mixed,1415,140
ethnicity,Asian or Asian British,3370,295
ethnicity,Black or Black British,285,30
ethnicity,Other ethnic groups,85,10
ethnicity,Unknown,71850,5765
ethnicity,Unknown,7125,565
