group,variable,total_TPP,nonantipsychotic_TPP,antipsychotic_TPP,total_EMIS,nonantipsychotic_EMIS,antipsychotic_EMIS,total,nonantipsychotic,antipsychotic
All,,"24,765,730 (100)","24,544,750 (100)","220,980 (100)","35,202,360 (100)","34,880,130 (100)","322,240 (100)",59968090 (100),59424880 (100),543220 (100)
ageband,0-17," 4,644,690 (19)"," 4,642,945 (19)","  1,750 (1)"," 6,638,575 (19)"," 6,635,715 (19)","  2,860 (1)","11,283,265 (19)","11,278,660 (19)","4,610 (1)"
ageband,18-24," 1,920,725 (8)"," 1,912,180 (8)","  8,545 (4)"," 2,946,405 (8)"," 2,932,980 (8)"," 13,425 (4)","4,867,130 (8)","4,845,160 (8)","21,970 (4)"
ageband,25-34," 3,421,385 (14)"," 3,395,605 (14)"," 25,780 (12)"," 5,225,690 (15)"," 5,188,745 (15)"," 36,950 (11)","8,647,075 (14)","8,584,350 (14)","62,730 (12)"
ageband,35-44," 3,440,625 (14)"," 3,407,630 (14)"," 32,995 (15)"," 5,102,660 (14)"," 5,054,590 (14)"," 48,070 (15)","8,543,285 (14)","8,462,220 (14)","81,065 (15)"
ageband,45-54," 3,214,825 (13)"," 3,175,245 (13)"," 39,580 (18)"," 4,552,070 (13)"," 4,492,890 (13)"," 59,185 (18)","7,766,895 (13)","7,668,135 (13)","98,765 (18)"
ageband,55-69," 4,473,325 (18)"," 4,417,190 (18)"," 56,135 (25)"," 6,032,040 (17)"," 5,947,765 (17)"," 84,275 (26)","10,505,365 (18)","10,364,955 (17)","140,410 (26)"
ageband,70-79," 2,236,870 (9)"," 2,208,410 (9)"," 28,460 (13)"," 2,862,400 (8)"," 2,822,735 (8)"," 39,665 (12)","5,099,270 (9)","5,031,145 (8)","68,125 (13)"
ageband,80+," 1,413,285 (6)"," 1,385,545 (6)"," 27,735 (13)"," 1,842,520 (5)"," 1,804,710 (5)"," 37,810 (12)","3,255,805 (5)","3,190,255 (5)","65,545 (12)"
sex,Female,"12,367,160 (50)","12,239,700 (50)","127,460 (58)","17,570,810 (50)","17,387,880 (50)","182,930 (57)","29,937,970 (50)","29,627,580 (50)","310,390 (57)"
sex,Male,"12,398,575 (50)","12,305,050 (50)"," 93,525 (42)","17,631,555 (50)","17,492,250 (50)","139,300 (43)","30,030,130 (50)","29,797,300 (50)","232,825 (43)"
imd,1 most deprived," 4,923,985 (20)"," 4,862,120 (20)"," 61,860 (28)"," 7,254,655 (21)"," 7,156,750 (21)"," 97,905 (30)","12,178,640 (20)","12,018,870 (20)","159,765 (29)"
imd,2," 4,835,865 (20)"," 4,785,965 (19)"," 49,895 (23)"," 7,540,985 (21)"," 7,465,530 (21)"," 75,455 (23)","12,376,850 (21)","12,251,495 (21)","125,350 (23)"
imd,3," 5,087,635 (21)"," 5,043,835 (21)"," 43,805 (20)"," 6,850,980 (19)"," 6,793,105 (19)"," 57,875 (18)","11,938,615 (20)","11,836,940 (20)","101,680 (19)"
imd,4," 4,784,120 (19)"," 4,750,065 (19)"," 34,055 (15)"," 6,587,990 (19)"," 6,540,025 (19)"," 47,965 (15)","11,372,110 (19)","11,290,090 (19)","82,020 (15)"
imd,5 least deprived," 4,375,810 (18)"," 4,350,135 (18)"," 25,675 (12)"," 6,841,460 (19)"," 6,800,240 (19)"," 41,220 (13)","11,217,270 (19)","11,150,375 (19)","66,895 (12)"
