group,variable,quarter,value,population,est,se,rate,lci,uci
All,Any antipsychotic,2019 Q1,51837,53890145,-6.946598721590999,0.004392179396148242,0.9619012901152899,0.9576857116531254,0.9661354248757832
All,Any antipsychotic,2019 Q2,48668,54339303,-7.017981326325837,0.004532922044714234,0.8956316572555223,0.8915810163280189,0.8997007011005657
All,Any antipsychotic,2019 Q3,49868,54799000,-7.002047710111698,0.004478050888604172,0.9100166061424464,0.9059506161203668,0.914100844703205
All,Any antipsychotic,2019 Q4,50738,55465790,-6.996846576527308,0.0044394925133206305,0.9147620542319874,0.9107099761810701,0.9188321614436257
All,Any antipsychotic,2020 Q1,48875,55956793,-7.043069100039681,0.004523312730314273,0.8734417642555045,0.8694998360122645,0.8774015634604526
All,Any antipsychotic,2020 Q2,44702,56246087,-7.1374735098546,0.004729731889024838,0.7947575090868099,0.7910073946608831,0.7985254025604454
All,Any antipsychotic,2020 Q3,46228,56415017,-7.106904985797602,0.004651011867931567,0.8194272103117516,0.8156248937955854,0.8232472526366799
All,Any antipsychotic,2020 Q4,49662,56905755,-7.043911704223573,0.004487328846020134,0.8727061085473701,0.8687987625820819,0.8766310274572227
All,Any antipsychotic,2021 Q1,51992,57373032,-7.006239785528924,0.004385627465466199,0.906209732823602,0.9022441366995949,0.9101927587672987
All,Any antipsychotic,2021 Q2,46872,57996833,-7.120723202346969,0.0046189499622755195,0.8081820605618251,0.8044577159658252,0.8119236475092805
All,Any antipsychotic,2021 Q3,51432,58606550,-7.0383411972234144,0.0044094385396017685,0.8775810894857315,0.87371996855188,0.8814592733864401
All,Any antipsychotic,2021 Q4,50468,59301813,-7.069055685808784,0.004451352147778166,0.8510363755657865,0.8472565319164664,0.8548330821338036
Autism,Any antipsychotic,2019 Q1,428,370042,-6.762248596109951,0.04833682379281279,1.156625464136505,1.1020475505060683,1.2139062998458332
Autism,Any antipsychotic,2019 Q2,418,384888,-6.825226229331998,0.04891159810483413,1.0860302217788036,1.0341889036781837,1.140470216245851
Autism,Any antipsychotic,2019 Q3,428,400470,-6.84127094073609,0.048336823792812816,1.0687442255349977,1.0183131812229793,1.1216728219530845
Autism,Any antipsychotic,2019 Q4,463,417358,-6.803972591572491,0.04647394069218803,1.1093593509648774,1.0589827173650075,1.1621324403059423
